Distance,Height,Angle,PathLoss,
427.82,1.88,0,NaN,74.1487526556
427.78,1.88,0,99.632,74.2114425042
427.74,1.88,0,99.599,74.2740422816
427.71,1.88,0,99.602,74.3209329444
427.67,1.88,0,NaN,74.3833748536
427.63,1.88,0,99.614,74.445726415
427.59,1.88,0,99.632,74.5079875303
427.55,1.88,0,NaN,74.570158102
427.51,1.88,0,99.588,74.632238034
427.47,1.88,0,NaN,74.6942272312
427.43,1.88,0,99.599,74.7561255997
427.39,1.88,0,99.568,74.8179330467
427.35,1.88,0,NaN,74.8796494805
427.31,1.88,0,NaN,74.9412748105
427.26,1.88,0,99.624,75.0181782223
427.22,1.88,0,NaN,75.0795982437
427.18,1.88,0,99.614,75.1409268748
427.14,1.88,0,99.593,75.2021640298
427.1,1.88,0,NaN,75.2633096241
427.06,1.88,0,99.66,75.324363574
427.01,1.88,0,NaN,75.4005520111
426.97,1.88,0,99.602,75.4613994615
426.93,1.88,0,NaN,75.5221550036
426.88,1.88,0,99.599,75.5979700653
426.84,1.88,0,NaN,75.6585185272
426.8,1.88,0,99.567,75.7189748287
426.76,1.88,0,99.586,75.7793388943
426.71,1.88,0,99.528,75.8546641568
426.67,1.88,0,99.577,75.9148204223
426.62,1.88,0,99.551,75.9898857058
426.58,1.88,0,NaN,76.049833808
426.53,1.88,0,NaN,76.1246386663
426.44,1.88,0,99.629,76.2589222569
426.4,1.88,0,NaN,76.3184529926
426.35,1.88,0,NaN,76.3927357237
426.26,1.88,0,NaN,76.5260783406
426.21,1.88,0,99.632,76.5999538602
426.17,1.88,0,99.593,76.6589494087
426.12,1.88,0,NaN,76.7325626649
426.07,1.88,0,99.613,76.8060300622
426.02,1.88,0,NaN,76.8793514915
425.98,1.88,0,99.528,76.9379034666
425.93,1.88,0,99.579,77.0109618874
425.88,1.88,0,99.596,77.0838740491
425.83,1.88,0,NaN,77.1566398523
425.78,1.88,0,99.616,77.2292592005
425.73,1.88,0,99.56,77.3017319996
425.69,1.88,0,99.629,77.3596046618
425.64,1.88,0,99.559,77.4318134432
425.59,1.88,0,99.616,77.5038754255
425.54,1.88,0,NaN,77.5757905239
425.49,1.88,0,99.509,77.6475586566
425.44,1.88,0,99.497,77.7191797439
425.39,1.88,0,NaN,77.7906537088
425.33,1.88,0,99.685,77.8762281602
425.28,1.88,0,99.697,77.9473781966
425.23,1.88,0,99.649,78.0183808806
425.18,1.88,0,NaN,78.0892361454
425.13,1.88,0,NaN,78.1599439268
425.07,1.88,0,99.597,78.2445984993
425.02,1.88,0,99.613,78.3149816026
424.97,1.88,0,99.667,78.385217033
424.92,1.88,0,NaN,78.4553047364
424.86,1.88,0,99.614,78.539214908
424.81,1.88,0,99.663,78.6089774331
424.76,1.88,0,99.571,78.6785920739
424.7,1.88,0,NaN,78.7619343736
424.65,1.88,0,NaN,78.831223517
424.59,1.88,0,99.65,78.914175103
424.54,1.88,0,NaN,78.9831385604
424.48,1.88,0,NaN,79.0656992213
424.37,1.88,0,99.618,79.2165063828
424.31,1.88,0,99.598,79.2984625398
424.25,1.88,0,99.593,79.3802052591
424.2,1.88,0,99.604,79.4481611232
424.14,1.88,0,NaN,79.5295124504
424.03,1.88,0,99.612,79.6781019567
423.97,1.88,0,NaN,79.7588482351
423.85,1.88,0,NaN,79.9197000452
423.79,1.88,0,NaN,79.9998055622
423.73,1.88,0,99.588,80.079697485
423.67,1.88,0,NaN,80.1593758177
423.61,1.88,0,99.603,80.2388405689
423.55,1.88,0,99.583,80.3180917516
423.49,1.88,0,99.613,80.3971293831
423.44,1.88,0,99.514,80.4628309624
423.38,1.88,0,NaN,80.5414771436
423.31,1.88,0,99.607,80.6329612117
423.25,1.88,0,NaN,80.7111449013
423.19,1.88,0,99.53,80.7891151928
423.13,1.88,0,NaN,80.8668721297
423.07,1.88,0,99.498,80.9444157599
423.01,1.88,0,99.537,81.0217461356
422.94,1.88,0,99.503,81.1116954523
422.88,1.88,0,99.533,81.1885639751
422.82,1.88,0,NaN,81.2652194358
422.76,1.88,0,99.569,81.3416619041
422.69,1.88,0,99.549,81.4305756835
422.63,1.88,0,NaN,81.5065569261
422.56,1.88,0,99.575,81.5949328286
422.5,1.88,0,NaN,81.6704532325
422.43,1.88,0,99.6,81.7582917337
422.37,1.88,0,99.585,81.8333517266
422.31,1.88,0,99.516,81.9081993777
422.24,1.88,0,NaN,81.9952533993
422.18,1.88,0,99.575,82.0696413371
422.11,1.88,0,99.529,82.1561593277
422.05,1.88,0,NaN,82.2300880782
421.98,1.88,0,99.626,82.3160706744
421.91,1.88,0,99.509,82.4017652608
421.85,1.88,0,99.575,82.4749886859
421.78,1.88,0,99.535,82.5601489448
421.71,1.88,0,99.503,82.6450217965
421.65,1.88,0,NaN,82.7175413723
421.58,1.88,0,99.595,82.8018810678
421.51,1.88,0,99.563,82.8859340144
421.44,1.88,0,99.587,82.9697004553
